entry,name,InChIKey,ΔΔG.expt.,test,fulltrain_prediction,electronic_contribution,electrostatic_contribution,orbital_contribution,intercept,role,contribution_change,experimental_change,used_for_linear_fit
C16,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,-2.6011302940242405,0,-2.5579523151229813,3.5433670422491783,-2.1168969623343514,0.5720461403063898,-4.5564685353442,training,-0.03161749819028614,-2.120028733661818,True
C3,4-phenyl-3-butyn-2-one,UPEUQDJSUFHFQP-UHFFFAOYSA-N,-1.8066202652671983,0,-1.708106890632966,2.3890192200821674,-0.09715039138693123,0.5564928160159982,-4.5564685353442,training,-1.185965320357297,-1.3255187049047756,True
C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,-1.1844708922616534,0,-1.0845201091399508,3.3221610134486754,-0.43126711320714517,0.5810545259627192,-4.5564685353442,training,-0.252823526990789,-0.7033693318992307,True
C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,-1.139750790027024,0,-1.2449844345965912,3.4958304185332136,-0.6727974981876669,0.48845118040206265,-4.5564685353442,training,-0.07915412190625082,-0.6586492296646014,True
C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,-0.8821075033688486,0,-0.9489300188788707,3.1368831780964284,-0.10320541306377302,0.573860751432675,-4.5564685353442,training,-0.4381013623430361,-0.4010059430064259,True
C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,-0.8741251315776558,0,-0.7311124090466494,3.101176948518836,0.25818520444787973,0.46599397333083475,-4.5564685353442,training,-0.4738075919206284,-0.3930235712152331,True
C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,-0.7959106766567086,0,-0.6110515724383117,3.721097193550471,-0.2923926571821747,0.5167124265375922,-4.5564685353442,training,0.14611265311100663,-0.3148091162942859,True
C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,-0.5180692507674259,0,-0.5074581154425672,4.067348902191371,-0.5878310324313917,0.5694925501416526,-4.5564685353442,training,0.4923643617519069,-0.03696769040500325,True
C1,2'-acetonaphthone,XSAYZAUNJMRRIR-UHFFFAOYSA-N,-0.4811015603624227,0,-0.40559217909997614,3.5749845404394645,0.06124448489123648,0.5146473309135229,-4.5564685353442,training,0.0,0.0,False
C13,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,-0.2799376933401825,0,0.08793793089047064,4.395938213737367,-0.2484561862092992,0.4969244387066023,-4.5564685353442,training,0.8209536732979021,0.2011638670222402,True
C15,dicyclohexylketone,TWXWPPKDQOWNSX-KHWBWMQUSA-N,0.8026917544773513,0,0.6924695523964832,4.368622692673251,0.29257859721730495,0.5877367978501264,-4.5564685353442,training,0.793638152233787,1.283793314839774,True
C14,"2,6-dimethyl-4-heptanone",PTTPXKJBFFKCEK-HOSYLAQJSA-N,1.3304461412441473,0,1.2141566312738918,5.318926995925897,-0.07271043110035305,0.5244086017925501,-4.5564685353442,training,1.7439424554864322,1.81154770160657,True
C12,dicyclopropyl ketone,BIPUHAHGLJKIPK-UHFFFAOYSA-N,1.867671642390036,0,1.531910242747017,4.908702133430242,0.5492775782096931,0.6303990664512822,-4.5564685353442,training,1.3337175929907774,2.348773202752459,True
C10,6-methyl-5-hepten-2-one,UHEPJGULSIKKTP-UHFFFAOYSA-N,-0.9096373785584596,0,-0.9231381584280505,3.507629609216592,-0.40147251966217706,0.5271732873617341,-4.5564685353442,training,-0.0673549312228725,-0.4285358181960369,True
C9,5-Chloro-2-pentanone,XVRIEWDDMODMGA-UHFFFAOYSA-N,-1.2087555629071842,0,-1.1792553115810445,3.776968709412279,-0.9553503890283692,0.5555949033792454,-4.5564685353442,training,0.20198416897281435,-0.7276540025447615,True
C17,5-methyl-3-heptanone,PSBKJPTZCVYXSD-UHFFFAOYSA-N,0.3876474635333945,0,0.21138042665523482,4.443625561661114,-0.21759419070222513,0.5418175910405465,-4.5564685353442,training,0.8686410212216495,0.8687490238958172,True
C11,trans-benzalacetone,BWHOZHOGCMHOBV-BQYQJAHWSA-N,-0.505017043351223,1,-1.3022104769697096,2.522706824092475,0.17867342952715934,0.5528778047548557,-4.5564685353442,excluded_monoketone,-1.0522777163469894,-0.023915482988800307,True
