outer_model,holdout_entry,holdout_name,checks_passed,all_8_correct,failed_checks,semiquant_rmse_percent,semiquant_mae_percent
0,C16,1-chloropinacolin,8,True,,12.884921436400589,10.438488815840973
1,A12,"2,2,2-trifluoroacetophenone",8,True,,12.513337384113765,10.49682472872997
2,D11,"4,4-dimethylcyclohexanone",8,True,,13.867381404304243,11.690442837340814
3,B5,2-indanone,8,True,,13.551104288892484,11.137993771894953
4,D12(trans),4-tert-butylcyclohexanone (trans),6,False,a:initial:2;a:final:2-4,19.50779111860278,14.37639294976258
5,D12(cis),4-tert-butylcyclohexanone (cis),8,True,,12.910686048849094,10.13187837052836
6,D8(trans),2-methylcyclohexanone(trans),8,True,,16.81490181104363,12.212888120590826
7,D8(cis),2-methylcyclohexanone(cis),5,False,a:initial:2;b:initial:1;a:final:2-4,33.26779341387884,21.05753345608389
8,A4,4'-nitroacetophenone,8,True,,12.762740680886248,10.461207242984075
9,D9(cis),3-methylcyclohexanone (cis),8,True,,13.826556498164237,11.515326322607734
10,D9(trans),3-methylcyclohexanone (trans),8,True,,12.496051870533972,10.714717703102425
11,C3,4-phenyl-3-butyn-2-one,8,True,,19.400989348378257,14.34910974068661
12,A9,3'-nitroacetophenone,8,True,,13.083929709061742,9.657762969068878
13,B6,2-tetralone,8,True,,13.06700961875167,11.083343009412076
14,D10(trans),4-methylcyclohexanone (trans),8,True,,12.465494366810558,10.485514092756667
15,D10(cis),4-methylcyclohexanone (cis),7,False,a:initial:2,19.872454257137274,15.170400200082383
16,D4,cyclohexanone,8,True,,12.559914977979464,10.756667728033321
17,A11,3'-(trifluoromethyl)acetophenone,8,True,,13.154947350367797,11.090128632089177
18,E4,2-adamantanone,8,True,,13.353577032465708,11.114416675230295
19,A6,4'-(trifluoromethyl)acetophenone,8,True,,12.420293183377046,10.140018254869394
20,C8,2-fluorophenylacetone,8,True,,16.09927642587013,13.46440067478614
21,C2,4-phenyl-2-butanone,8,True,,13.589484422118698,11.509063029208644
22,C4,"1,1-dimethoxy-3-butanone",8,True,,13.148120391011352,11.001657070580608
23,C6,1-cyclopentylethanone,8,True,,12.479290127943987,10.209994159351135
24,B2,5-chloro-1-indanone,8,True,,14.245891803274402,11.784992263246572
25,C5,2-nonanone,8,True,,13.556635161977642,10.960471884771302
26,D14(trans),"3,3,5-trimethylcyclohexanone(trans)",8,True,,12.28995702967439,10.46546205761603
27,D14(cis),"3,3,5-trimethylcyclohexanone(cis)",8,True,,16.496107797040096,13.019659814618675
28,A5,4'-chloroacetophenone,8,True,,17.5331377563117,13.52297721732944
29,A18,"2,2-dimethyl-1-phenylpropan-1-one",8,True,,13.261794632483934,10.95269548303336
30,A10,3'-chloroacetophenone,8,True,,13.615603334583547,10.838991358964579
31,B10,dibenzosuberenone,7,False,c:initial:2,19.878238719115288,13.753702048055617
32,E2(endo),2-norbornanone (endo),8,True,,13.072991500515728,10.941766801255138
33,E2(exo),2-norbornanone (exo),8,True,,11.433811116768325,9.544516956682195
34,D5,cycloheptanone,8,True,,12.76501158747713,10.60776063114982
35,C7,"1,1-diphenylacetone",8,True,,14.895981392433285,12.335785688344238
36,C1,2'-acetonaphthone,8,True,,13.640721335771524,11.643324306358702
37,D3,"2,2-dimethylcyclopentanone",8,True,,21.332878111851077,15.9186192533502
38,D13(trans),"2,2,6-trimethylcyclohexanone (trans)",7,False,c:initial:2,17.489276033444643,12.975345474714977
39,D13(cis),"2,2,6-Trimethylcyclohexanone-2",8,True,,15.297332681684805,10.78614349190329
40,C13,5-nonanone,8,True,,13.47206567828939,11.20964612901303
41,D15,"3,3,5,5-tetramethylcyclohexan-1-one",8,True,,13.062730079426881,11.078860096879156
42,A1,acetophenone,8,True,,13.34461622096199,11.31569235975929
43,A16,isobutyrophenone,8,True,,12.259795649727042,10.147291036640123
44,A7,3'-methylacetophenone,8,True,,12.936757007851668,10.978322054532534
45,A8,3'-methoxyacetophenone,8,True,,13.831344681377438,11.149516985409463
46,B1,1-indanone,8,True,,12.90976911850853,10.925662754474805
47,A14,propiophenone,8,True,,15.553530820452927,10.911831466567302
48,A20,cyclobutyl phenyl ketone,8,True,,13.786620999279178,11.490694246701453
49,B3,1-tetralone,7,False,c:initial:2,21.07915479863371,15.134725826118451
50,A23,cyclohexyl phenyl ketone,8,True,,13.16379252389522,11.17782906807843
51,A19,valerophenone,8,True,,13.099124630907088,10.897942027239887
52,A15,butyrophenone,8,True,,13.325681439153916,11.296906040655005
53,B4,1-benzosuberone,8,True,,13.829148423892052,11.619902632963377
54,A24,benzophenone,8,True,,13.045913471318125,11.084333059427019
55,A2,4'-methylacetophenone,8,True,,14.25276613097446,12.272323381385974
56,A22,cyclopentyl phenyl ketone,8,True,,13.86221468761874,10.982958833209402
57,D16(trans),(-)-menthone (eq),8,True,,19.34300843521831,15.274451694854728
