condition,target,kind,expected_label,predicted_label,top_match,predicted_percent,observed_percent,abs_error_percent
current_projected_orbital_model,a:max_family,max_family_percent,1+2,1+2,True,83.52537558014956,88.0,4.474624419850443
current_projected_orbital_model,a:max_dr,max_dr_percent,2,2,True,69.65410892146713,87.0,17.345891078532873
current_projected_orbital_model,a:final_top,final_top_product,2-4,2-4,True,70.35289200038196,,
current_projected_orbital_model,a:final_axis_2,final_dr_percent,2,2,True,70.72736665087186,89.0,18.272633349128142
current_projected_orbital_model,a:final_axis_4,final_dr_percent,4,4,True,99.43303591426964,90.0,9.433035914269638
current_projected_orbital_model,b:max_family,max_family_percent,1+2,1+2,True,87.59737603691791,76.3,11.29737603691791
current_projected_orbital_model,b:max_dr,max_dr_percent,1,1,True,85.71500851338173,100.0,14.284991486618267
current_projected_orbital_model,c:max_family,max_family_percent,1+2,1+2,True,94.67359705341752,88.0,6.673597053417524
current_projected_orbital_model,c:max_dr,max_dr_percent,2,2,True,77.804407072454,99.0,21.195592927546002
current_projected_orbital_model,d:max_family,max_family_percent,1+2,1+2,True,99.77911746477771,77.0,22.779117464777713
current_projected_orbital_model,d:max_dr,max_dr_percent,1,1,True,89.27395860421822,95.0,5.7260413957817775
current_projected_orbital_model,e:max_family,max_family_percent,1+2,1+2,True,93.78630496143138,76.0,17.786304961431384
current_projected_orbital_model,e:max_dr,max_dr_percent,2,2,True,99.85036609018492,100.0,0.14963390981507985
current_projected_orbital_model,e:final_top,final_top_product,2-3,2-3,True,91.62316064922257,,
current_projected_orbital_model,e:final_axis_2,final_dr_percent,2,2,True,99.16374913571762,100.0,0.8362508642823769
current_projected_orbital_model,e:final_axis_3,final_dr_percent,3,3,True,91.8025239768533,100.0,8.197476023146706
current_projected_orbital_model,f:max_family,max_family_percent,1+2,1+2,True,73.19274084747161,89.0,15.807259152528388
current_projected_orbital_model,f:max_dr,max_dr_percent,1,1,True,99.60771080112639,100.0,0.3922891988736126
current_projected_orbital_model,x:max_total,max_total_percent,,,,66.24332153529856,80.0,13.756678464701437
current_projected_orbital_model,y:max_total,max_total_percent,,,,69.0633304855644,80.0,10.936669514435593
