entry,name,InChIKey,SMILES,temperature,ΔΔG.expt.,test
x1,"1,3-Diacetylbenzene",VCHOFVSNWYPAEF-CDYZYAPPSA-N,O=[13C](C)c1cc(C(=O)C)ccc1,273,,1
x2,"1,3-Diacetylbenzene",VCHOFVSNWYPAEF-CDYZYAPPSA-N,O=[13C](C)c1cc(C(=O)C)ccc1,273,,1
x3,"1,3-Diacetylbenzene",VCHOFVSNWYPAEF-CDYZYAPPSA-N,O=[13C](C)c1cc(C(=O)C)ccc1,273,,1
x4,"1,3-Diacetylbenzene",VCHOFVSNWYPAEF-CDYZYAPPSA-N,O=[13C](C)c1cc(C(=O)C)ccc1,273,,1
x13,"1,3-Diacetylbenzene (Reduction to cis-diol)",YYRHKGUSBRUPHT-JGKGVNBQSA-N,O=[13C](C)c1cc([C@H](O)C)ccc1,273,,1
x14,"1,3-Diacetylbenzene (Reduction to trans-diol)",YYRHKGUSBRUPHT-BAZIHRRBSA-N,O=[13C](C)c1cc([C@@H](O)C)ccc1,273,,1
x23,"1,3-Diacetylbenzene (Reduction to trans-diol)",YYRHKGUSBRUPHT-BAZIHRRBSA-N,O=[13C](C)c1cc([C@@H](O)C)ccc1,273,,1
x24,"1,3-Diacetylbenzene (Reduction to cis-diol)",YYRHKGUSBRUPHT-JGKGVNBQSA-N,O=[13C](C)c1cc([C@H](O)C)ccc1,273,,1
x31,"1,3-Diacetylbenzene (Reduction to cis-diol)",YYRHKGUSBRUPHT-JGKGVNBQSA-N,O=[13C](C)c1cc([C@H](O)C)ccc1,273,,1
x32,"1,3-Diacetylbenzene (Reduction to trans-diol)",YYRHKGUSBRUPHT-BAZIHRRBSA-N,O=[13C](C)c1cc([C@@H](O)C)ccc1,273,,1
x41,"1,3-Diacetylbenzene (Reduction to trans-diol)",YYRHKGUSBRUPHT-BAZIHRRBSA-N,O=[13C](C)c1cc([C@@H](O)C)ccc1,273,,1
x42,"1,3-Diacetylbenzene (Reduction to cis-diol)",YYRHKGUSBRUPHT-JGKGVNBQSA-N,O=[13C](C)c1cc([C@H](O)C)ccc1,273,,1
y1,"1,4-Diacetylbenzene",SKBBQSLSGRSQAJ-CDYZYAPPSA-N,O=[13C](C)c1ccc(C(=O)C)cc1,273,,1
y2,"1,4-Diacetylbenzene",SKBBQSLSGRSQAJ-CDYZYAPPSA-N,O=[13C](C)c1ccc(C(=O)C)cc1,273,,1
y3,"1,4-Diacetylbenzene",SKBBQSLSGRSQAJ-CDYZYAPPSA-N,O=[13C](C)c1ccc(C(=O)C)cc1,273,,1
y4,"1,4-Diacetylbenzene",SKBBQSLSGRSQAJ-CDYZYAPPSA-N,O=[13C](C)c1ccc(C(=O)C)cc1,273,,1
y13,"1,4-Diacetylbenzene (Reduction to cis-diol)",NWDDTMPWTLSMBS-JGKGVNBQSA-N,O=[13C](C)c1ccc([C@H](O)C)cc1,273,,1
y14,"1,4-Diacetylbenzene (Reduction to trans-diol)",NWDDTMPWTLSMBS-BAZIHRRBSA-N,O=[13C](C)c1ccc([C@@H](O)C)cc1,273,,1
y23,"1,4-Diacetylbenzene (Reduction to trans-diol)",NWDDTMPWTLSMBS-BAZIHRRBSA-N,O=[13C](C)c1ccc([C@@H](O)C)cc1,273,,1
y24,"1,4-Diacetylbenzene (Reduction to cis-diol)",NWDDTMPWTLSMBS-JGKGVNBQSA-N,O=[13C](C)c1ccc([C@H](O)C)cc1,273,,1
y31,"1,4-Diacetylbenzene (Reduction to cis-diol)",NWDDTMPWTLSMBS-JGKGVNBQSA-N,O=[13C](C)c1ccc([C@H](O)C)cc1,273,,1
y32,"1,4-Diacetylbenzene (Reduction to trans-diol)",NWDDTMPWTLSMBS-BAZIHRRBSA-N,O=[13C](C)c1ccc([C@@H](O)C)cc1,273,,1
