entry,name,SMILES,InChIKey,temperature,test
x1,"1,3-Diacetylbenzene",O=[13C](C)c1cc(C(=O)C)ccc1,VCHOFVSNWYPAEF-CDYZYAPPSA-N,273,1
x2,"1,3-Diacetylbenzene",O=[13C](C)c1cc(C(=O)C)ccc1,VCHOFVSNWYPAEF-CDYZYAPPSA-N,273,1
x3,"1,3-Diacetylbenzene",O=[13C](C)c1cc(C(=O)C)ccc1,VCHOFVSNWYPAEF-CDYZYAPPSA-N,273,1
x4,"1,3-Diacetylbenzene",O=[13C](C)c1cc(C(=O)C)ccc1,VCHOFVSNWYPAEF-CDYZYAPPSA-N,273,1
x13,"1,3-Diacetylbenzene (Reduction to cis-diol)",O=[13C](C)c1cc([C@H](O)C)ccc1,YYRHKGUSBRUPHT-JGKGVNBQSA-N,273,1
x14,"1,3-Diacetylbenzene (Reduction to trans-diol)",O=[13C](C)c1cc([C@@H](O)C)ccc1,YYRHKGUSBRUPHT-BAZIHRRBSA-N,273,1
x23,"1,3-Diacetylbenzene (Reduction to trans-diol)",O=[13C](C)c1cc([C@@H](O)C)ccc1,YYRHKGUSBRUPHT-BAZIHRRBSA-N,273,1
x24,"1,3-Diacetylbenzene (Reduction to cis-diol)",O=[13C](C)c1cc([C@H](O)C)ccc1,YYRHKGUSBRUPHT-JGKGVNBQSA-N,273,1
x31,"1,3-Diacetylbenzene (Reduction to cis-diol)",O=[13C](C)c1cc([C@H](O)C)ccc1,YYRHKGUSBRUPHT-JGKGVNBQSA-N,273,1
x32,"1,3-Diacetylbenzene (Reduction to trans-diol)",O=[13C](C)c1cc([C@@H](O)C)ccc1,YYRHKGUSBRUPHT-BAZIHRRBSA-N,273,1
x41,"1,3-Diacetylbenzene (Reduction to trans-diol)",O=[13C](C)c1cc([C@@H](O)C)ccc1,YYRHKGUSBRUPHT-BAZIHRRBSA-N,273,1
x42,"1,3-Diacetylbenzene (Reduction to cis-diol)",O=[13C](C)c1cc([C@H](O)C)ccc1,YYRHKGUSBRUPHT-JGKGVNBQSA-N,273,1
