entry,name,SMILES,InChIKey,temperature,ΔΔG.expt.,test
C16,1-chloropinacolin,O=C(CCl)C(C)(C)C,ULSAJQMHTGKPIY-UHFFFAOYSA-N,273,-2.6011302940242405,0
A12,"2,2,2-trifluoroacetophenone",O=C(C(F)(F)F)c1ccccc1,KZJRKRQSDZGHEC-UHFFFAOYSA-N,273,-2.3266614749075223,0
D11,"4,4-dimethylcyclohexanone",O=C1[13CH2]CC(C)(C)CC1,PXQMSTLNSHMSJB-LBPDFUHNSA-N,273,-2.101963024860244,0
B5,2-indanone,O=C1[13CH2]c2ccccc2C1,UMJJFEIKYGFCAT-HOSYLAQJSA-N,273,-2.1017879973597875,0
D12(trans),4-tert-butylcyclohexanone (trans),O=C1[13CH2]C[C@@H](C(C)(C)C)CC1,YKFKEYKJGVSEIX-KWYDOPHBSA-N,273,-2.284136805132168,0
D12(cis),4-tert-butylcyclohexanone (cis),O=C1[13CH2]C[C@H](C(C)(C)C)CC1,YKFKEYKJGVSEIX-BAUXJJEQSA-N,273,-1.5809412322316223,0
D8(trans),2-methylcyclohexanone(trans),O=C1[C@@H](C)CCCC1,LFSAPCRASZRSKS-LURJTMIESA-N,273,-2.277837356990933,0
D8(cis),2-methylcyclohexanone(cis),O=C1[C@H](C)CCCC1,LFSAPCRASZRSKS-ZCFIWIBFSA-N,273,-1.9431983999394413,0
A4,4'-nitroacetophenone,O=C(C)c1ccc([N+]([O-])=O)cc1,YQYGPGKTNQNXMH-UHFFFAOYSA-N,273,-2.0184474070018505,0
D9(cis),3-methylcyclohexanone (cis),O=C1C[C@H](C)CCC1,UJBOOUHRTQVGRU-ZCFIWIBFSA-N,273,-2.1034218579627373,0
D9(trans),3-methylcyclohexanone (trans),O=C1C[C@@H](C)CCC1,UJBOOUHRTQVGRU-LURJTMIESA-N,273,-1.502819090913842,0
C3,4-phenyl-3-butyn-2-one,O=C(C)C#Cc1ccccc1,UPEUQDJSUFHFQP-UHFFFAOYSA-N,273,-1.8066202652671985,0
A9,3'-nitroacetophenone,O=C(C)c1cc([N+]([O-])=O)ccc1,ARKIFHPFTHVKDT-UHFFFAOYSA-N,273,-1.7950553485601815,0
B6,2-tetralone,O=C1Cc2ccccc2CC1,KCKZIWSINLBROE-UHFFFAOYSA-N,273,-1.7255659462170907,0
D10(trans),4-methylcyclohexanone (trans),O=C1[13CH2]C[C@@H](C)CC1,VGVHNLRUAMRIEW-NFPUQWBCSA-N,273,-2.5316082791648906,0
D10(cis),4-methylcyclohexanone (cis),O=C1[13CH2]C[C@H](C)CC1,VGVHNLRUAMRIEW-TXNNBAIQSA-N,273,-1.7285998543165437,0
D4,cyclohexanone,O=C1[13CH2]CCCC1,JHIVVAPYMSGYDF-AZXPZELESA-N,273,-2.0835534791638555,0
B7,9-fluorenone,O=C1[13c]2ccccc2c3ccccc13,YLQWCDOCJODRMT-KHWBWMQUSA-N,273,-1.7493197476945608,1
D1(cis),3-(benzyloxy)cyclobutanone(cis),O=C1[13CH2][C@H](OCc2ccccc2)C1,GPPSQLLIFNWNSB-VFOIXEAWSA-N,273,-1.9691263120891376,1
D1(trans),3-(benzyloxy)cyclobutanone(trans),O=C1[13CH2][C@@H](OCc2ccccc2)C1,GPPSQLLIFNWNSB-VXPBIQBCSA-N,273,-0.9119717054118575,1
A11,3'-(trifluoromethyl)acetophenone,O=C(C)c1cc(C(F)(F)F)ccc1,ABXGMGUHGLQMAW-UHFFFAOYSA-N,273,-1.5841979094277034,0
E4,2-adamantanone,C1C2CC3CC1C[13CH](C2)C3=O,IYKFYARMMIESOX-VJJZLTLGSA-N,273,-1.470473783294095,0
A6,4'-(trifluoromethyl)acetophenone,O=C(C)c1ccc(C(F)(F)F)cc1,HHAISVSEJFEWBZ-UHFFFAOYSA-N,273,-1.4634050959363298,0
C8,2-fluorophenylacetone,O=C(C)Cc1c(F)cccc1,BANVZEUCJHUPOI-UHFFFAOYSA-N,273,-1.1844708922616534,0
