row_index,entry,name,InChIKey,conf_id,boltzmann_weight,cache_file
0,C12,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,137,0.353180893875928,ULSAJQMHTGKPIY-UHFFFAOYSA-N_conf137.npy
0,C12,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,155,0.353180893875928,ULSAJQMHTGKPIY-UHFFFAOYSA-N_conf155.npy
0,C12,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,346,0.1468191061240719,ULSAJQMHTGKPIY-UHFFFAOYSA-N_conf346.npy
0,C12,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,94,0.1468191061240719,ULSAJQMHTGKPIY-UHFFFAOYSA-N_conf94.npy
1,A12,"2,2,2-trifluoroacetophenone",KZJRKRQSDZGHEC-UHFFFAOYSA-N,80,1.0,KZJRKRQSDZGHEC-UHFFFAOYSA-N_conf80.npy
2,D10,"4,4-dimethylcyclohexanone",PXQMSTLNSHMSJB-LBPDFUHNSA-N,193,0.5,PXQMSTLNSHMSJB-LBPDFUHNSA-N_conf193.npy
2,D10,"4,4-dimethylcyclohexanone",PXQMSTLNSHMSJB-LBPDFUHNSA-N,53,0.5,PXQMSTLNSHMSJB-LBPDFUHNSA-N_conf53.npy
3,B5,2-indanone,UMJJFEIKYGFCAT-HOSYLAQJSA-N,81,1.0,UMJJFEIKYGFCAT-HOSYLAQJSA-N_conf81.npy
4,D11(trans),4-tert-butylcyclohexanone (trans),YKFKEYKJGVSEIX-KWYDOPHBSA-N,773,1.0,YKFKEYKJGVSEIX-KWYDOPHBSA-N_conf773.npy
5,D11(cis),4-tert-butylcyclohexanone (cis),YKFKEYKJGVSEIX-BAUXJJEQSA-N,642,1.0,YKFKEYKJGVSEIX-BAUXJJEQSA-N_conf642.npy
6,Dxx(trans),2-methylcyclohexanone(trans),LFSAPCRASZRSKS-LURJTMIESA-N,262,0.9835993957388868,LFSAPCRASZRSKS-LURJTMIESA-N_conf262.npy
6,Dxx(trans),2-methylcyclohexanone(trans),LFSAPCRASZRSKS-LURJTMIESA-N,81,0.0164006042611134,LFSAPCRASZRSKS-LURJTMIESA-N_conf81.npy
7,Dxx(cis),2-methylcyclohexanone(cis),LFSAPCRASZRSKS-ZCFIWIBFSA-N,323,0.9835993957388868,LFSAPCRASZRSKS-ZCFIWIBFSA-N_conf323.npy
7,Dxx(cis),2-methylcyclohexanone(cis),LFSAPCRASZRSKS-ZCFIWIBFSA-N,41,0.0164006042611134,LFSAPCRASZRSKS-ZCFIWIBFSA-N_conf41.npy
8,A4,4'-nitroacetophenone,YQYGPGKTNQNXMH-UHFFFAOYSA-N,335,1.0,YQYGPGKTNQNXMH-UHFFFAOYSA-N_conf335.npy
9,D8(cis),3-methylcyclohexanone (cis),UJBOOUHRTQVGRU-ZCFIWIBFSA-N,20,0.872302754066258,UJBOOUHRTQVGRU-ZCFIWIBFSA-N_conf20.npy
9,D8(cis),3-methylcyclohexanone (cis),UJBOOUHRTQVGRU-ZCFIWIBFSA-N,349,0.127697245933742,UJBOOUHRTQVGRU-ZCFIWIBFSA-N_conf349.npy
10,D8(trans),3-methylcyclohexanone (trans),UJBOOUHRTQVGRU-LURJTMIESA-N,387,0.872302754066258,UJBOOUHRTQVGRU-LURJTMIESA-N_conf387.npy
10,D8(trans),3-methylcyclohexanone (trans),UJBOOUHRTQVGRU-LURJTMIESA-N,8,0.127697245933742,UJBOOUHRTQVGRU-LURJTMIESA-N_conf8.npy
11,C3,4-phenyl-3-butyn-2-one,UPEUQDJSUFHFQP-UHFFFAOYSA-N,252,1.0,UPEUQDJSUFHFQP-UHFFFAOYSA-N_conf252.npy
12,A9,3'-nitroacetophenone,ARKIFHPFTHVKDT-UHFFFAOYSA-N,175,0.7940054985136088,ARKIFHPFTHVKDT-UHFFFAOYSA-N_conf175.npy
12,A9,3'-nitroacetophenone,ARKIFHPFTHVKDT-UHFFFAOYSA-N,273,0.2059945014863911,ARKIFHPFTHVKDT-UHFFFAOYSA-N_conf273.npy
13,B6,2-tetralone,KCKZIWSINLBROE-UHFFFAOYSA-N,247,1.0,KCKZIWSINLBROE-UHFFFAOYSA-N_conf247.npy
14,D9(trans),4-methylcyclohexanone (trans),VGVHNLRUAMRIEW-NFPUQWBCSA-N,351,0.9324921632953256,VGVHNLRUAMRIEW-NFPUQWBCSA-N_conf351.npy
14,D9(trans),4-methylcyclohexanone (trans),VGVHNLRUAMRIEW-NFPUQWBCSA-N,61,0.0675078367046743,VGVHNLRUAMRIEW-NFPUQWBCSA-N_conf61.npy
15,D9(cis),4-methylcyclohexanone (cis),VGVHNLRUAMRIEW-TXNNBAIQSA-N,344,0.9321518691321607,VGVHNLRUAMRIEW-TXNNBAIQSA-N_conf344.npy
15,D9(cis),4-methylcyclohexanone (cis),VGVHNLRUAMRIEW-TXNNBAIQSA-N,110,0.0678481308678391,VGVHNLRUAMRIEW-TXNNBAIQSA-N_conf110.npy
16,D4,cyclohexanone,JHIVVAPYMSGYDF-AZXPZELESA-N,55,0.5013726751236491,JHIVVAPYMSGYDF-AZXPZELESA-N_conf55.npy
16,D4,cyclohexanone,JHIVVAPYMSGYDF-AZXPZELESA-N,288,0.4986273248763508,JHIVVAPYMSGYDF-AZXPZELESA-N_conf288.npy
17,B7,9-fluorenone,YLQWCDOCJODRMT-KHWBWMQUSA-N,298,1.0,YLQWCDOCJODRMT-KHWBWMQUSA-N_conf298.npy
18,D1(cis),3-(benzyloxy)cyclobutanone(cis),GPPSQLLIFNWNSB-VFOIXEAWSA-N,277,0.268791361873571,GPPSQLLIFNWNSB-VFOIXEAWSA-N_conf277.npy
