row_index,entry,name,InChIKey,ddg
0,C16,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,-2.6011302940242405
1,A12,"2,2,2-trifluoroacetophenone",KZJRKRQSDZGHEC-UHFFFAOYSA-N,-2.3266614749075223
2,D11,"4,4-dimethylcyclohexanone",PXQMSTLNSHMSJB-LBPDFUHNSA-N,-2.101963024860244
3,B5,2-indanone,UMJJFEIKYGFCAT-HOSYLAQJSA-N,-2.1017879973597875
4,D12(trans),4-tert-butylcyclohexanone (trans),YKFKEYKJGVSEIX-KWYDOPHBSA-N,-2.284136805132168
5,D12(cis),4-tert-butylcyclohexanone (cis),YKFKEYKJGVSEIX-BAUXJJEQSA-N,-1.5809412322316223
6,D8(trans),2-methylcyclohexanone(trans),LFSAPCRASZRSKS-LURJTMIESA-N,-2.277837356990933
7,D8(cis),2-methylcyclohexanone(cis),LFSAPCRASZRSKS-ZCFIWIBFSA-N,-1.9431983999394413
8,A4,4'-nitroacetophenone,YQYGPGKTNQNXMH-UHFFFAOYSA-N,-2.0184474070018505
9,D9(cis),3-methylcyclohexanone (cis),UJBOOUHRTQVGRU-ZCFIWIBFSA-N,-2.1034218579627373
10,D9(trans),3-methylcyclohexanone (trans),UJBOOUHRTQVGRU-LURJTMIESA-N,-1.502819090913842
11,C3,4-phenyl-3-butyn-2-one,UPEUQDJSUFHFQP-UHFFFAOYSA-N,-1.8066202652671985
12,A9,3'-nitroacetophenone,ARKIFHPFTHVKDT-UHFFFAOYSA-N,-1.7950553485601815
13,B6,2-tetralone,KCKZIWSINLBROE-UHFFFAOYSA-N,-1.7255659462170907
14,D10(trans),4-methylcyclohexanone (trans),VGVHNLRUAMRIEW-NFPUQWBCSA-N,-2.5316082791648906
15,D10(cis),4-methylcyclohexanone (cis),VGVHNLRUAMRIEW-TXNNBAIQSA-N,-1.7285998543165437
16,D4,cyclohexanone,JHIVVAPYMSGYDF-AZXPZELESA-N,-2.0835534791638555
20,A11,3'-(trifluoromethyl)acetophenone,ABXGMGUHGLQMAW-UHFFFAOYSA-N,-1.5841979094277034
21,E4,2-adamantanone,IYKFYARMMIESOX-VJJZLTLGSA-N,-1.470473783294095
22,A6,4'-(trifluoromethyl)acetophenone,HHAISVSEJFEWBZ-UHFFFAOYSA-N,-1.4634050959363298
23,C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,-1.1844708922616534
24,C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,-1.139750790027024
25,C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,-0.8821075033688486
26,C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,-0.8741251315776558
27,B2,5-chloro-1-indanone,MEDSHTHCZIOVPU-UHFFFAOYSA-N,-0.8119907764955839
28,C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,-0.7959106766567086
29,D14(trans),"3,3,5-trimethylcyclohexanone(trans)",POSWICCRDBKBMH-ZETCQYMHSA-N,-1.093032799535838
30,D14(cis),"3,3,5-trimethylcyclohexanone(cis)",POSWICCRDBKBMH-SSDOTTSWSA-N,-0.18361162246935572
31,A5,4'-chloroacetophenone,BUZYGTVTZYSBCU-UHFFFAOYSA-N,-0.7904736039696392
32,A18,"2,2-dimethyl-1-phenylpropan-1-one",OECPUBRNDKXFDX-UHFFFAOYSA-N,-0.7672692930524473
33,A10,3'-chloroacetophenone,UUWJBXKHMMQDED-UHFFFAOYSA-N,-0.7451105814624829
34,B10,dibenzosuberenone,SNVTZAIYUGUKNI-KCKQSJSWSA-N,-0.5707522973278076
35,E2(endo),2-norbornanone (endo),KPMKEVXVVHNIEY-PRJDIBJQSA-N,-0.8985045618297822
36,E2(exo),2-norbornanone (exo),KPMKEVXVVHNIEY-GDVGLLTNSA-N,0.5061094003213791
37,D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,-0.5417615135950751
38,C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,-0.5180692507674259
39,C1,2'-acetonaphthone,XSAYZAUNJMRRIR-UHFFFAOYSA-N,-0.4811015603624227
40,D3,"2,2-dimethylcyclopentanone",FTGZMZBYOHMEPS-UHFFFAOYSA-N,-0.4772220477077166
41,D13(trans),"2,2,6-trimethylcyclohexanone (trans)",ZPVOLGVTNLDBFI-SSDOTTSWSA-N,-0.738058924470881
42,D13(cis),"2,2,6-Trimethylcyclohexanone-2",ZPVOLGVTNLDBFI-ZETCQYMHSA-N,-0.11903846144313808
43,C13,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,-0.27993769334018254
44,D15,"3,3,5,5-tetramethylcyclohexan-1-one",OQJMHUOCLRCSED-HOSYLAQJSA-N,-0.2711277995120343
45,A1,acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,-0.25135991559925697
46,A16,isobutyrophenone,BSMGLVDZZMBWQB-UHFFFAOYSA-N,-0.22544926640004398
47,A7,3'-methylacetophenone,FSPSELPMWGWDRY-UHFFFAOYSA-N,-0.21064930116823263
48,A8,3'-methoxyacetophenone,BAYUSCHCCGXLAY-UHFFFAOYSA-N,-0.20925601464965848
49,B1,1-indanone,QNXSIUBBGPHDDE-UHFFFAOYSA-N,-0.19548927390935034
50,A14,propiophenone,KRIOVPPHQSLHCZ-UHFFFAOYSA-N,-0.1400583315037466
51,A20,cyclobutyl phenyl ketone,MVEBDOSCXOQNAR-UHFFFAOYSA-N,-0.09740911108196935
52,B3,1-tetralone,XHLHPRDBBAGVEG-UHFFFAOYSA-N,-0.09379485879919268
53,A23,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,-0.05896115917146851
54,A19,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,-0.055832478677398455
55,A15,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,-0.05290821139502672
56,B4,1-benzosuberone,KWHUHTFXMNQHAA-UHFFFAOYSA-N,-0.013318973386423261
57,A24,benzophenone,RWCCWEUUXYIKHB-KHWBWMQUSA-N,0.0
58,A2,4'-methylacetophenone,GNKZMNRKLCTJAY-UHFFFAOYSA-N,0.15941509968075374
59,A22,cyclopentyl phenyl ketone,VYDIMQRLNMMJBW-UHFFFAOYSA-N,0.16759904265469597
60,D16(trans),(-)-menthone (eq),NFLGAXVYCFJBMK-DTWKUNHWSA-N,0.09801063165382129
61,D16(cis),(-)-menthone (ax),NFLGAXVYCFJBMK-BDAKNGLRSA-N,0.277006797251848
62,A17,cyclopropyl phenyl ketone,PJRHFTYXYCVOSJ-UHFFFAOYSA-N,0.21261912510977535
63,D6,cyclooctanone,IIRFCWANHMSDCG-PTQBSOBMSA-N,0.2759783394108414
64,D2(trans),2-cyclopentylcyclopentanone(trans),CWZGKTMWPFTJCS-SECBINFHSA-N,0.3359480904225796
65,D2(cis),2-cyclopentylcyclopentanone(cis),CWZGKTMWPFTJCS-VIFPVBQESA-N,0.3581254553855987
66,D7,cyclododecanone,SXVPOSFURRDKBO-DETAZLGJSA-N,0.5096612923312198
