feature,coefficient
"electronic:grid:(-5, 1, 1)",-0.04427904284405511
"electronic:grid:(-5, 1, 2)",-0.07857245085557389
"electronic:grid:(-5, 2, 1)",0.0024121507399874004
"electronic:grid:(-4, 1, -2)",0.03762370608846443
"electronic:grid:(-4, 1, 2)",0.08912809721943711
"electronic:grid:(-4, 2, -2)",0.021344892883235538
"electronic:grid:(-4, 3, -2)",0.04078027347458642
"electronic:grid:(-3, 1, -2)",0.03282020791556188
"electronic:grid:(-3, 1, 2)",0.056413816577047464
"electronic:grid:(-3, 2, -1)",-0.1050691567596209
"electronic:grid:(-3, 3, -2)",-0.04892333490713691
"electronic:grid:(-2, 2, -2)",0.0718496571766982
"electronic:grid:(-2, 2, 1)",0.01237281590876427
"electronic:grid:(-2, 2, 2)",0.22143678764287458
"electronic:grid:(-2, 3, -2)",0.0634516235789669
"electronic:grid:(-1, 3, -1)",-0.08054811820436014
"electronic:grid:(-1, 3, 3)",0.15132681120788036
"electronic:grid:(1, 1, -2)",0.07055555001470032
"electronic:grid:(1, 3, -2)",-0.009561985246995135
"electronic:grid:(1, 3, 1)",0.0066043989007900546
"electronic:grid:(1, 3, 2)",-0.016788987482491406
"electronic:grid:(2, 2, -2)",0.10646916830352118
"electronic:grid:(2, 2, -1)",0.049190155924663644
"electronic:grid:(2, 3, 3)",0.013946782314889153
"electrostatic:grid:(-5, 1, 1)",-0.04225359811743628
"electrostatic:grid:(-5, 2, 3)",-0.006341104320468396
"electrostatic:grid:(-5, 3, -1)",0.018749744982629324
"electrostatic:grid:(-3, 1, 1)",-0.019493161114716235
"electrostatic:grid:(-3, 1, 3)",0.17898466757238093
"electrostatic:grid:(-3, 2, -1)",-0.05188244452701512
"electrostatic:grid:(-3, 2, 1)",-0.01415235901691231
"electrostatic:grid:(-3, 2, 2)",-0.10136649187499287
"electrostatic:grid:(-3, 3, 1)",-0.04273202339478921
"electrostatic:grid:(-2, 1, -2)",-0.005503185709754611
"electrostatic:grid:(-2, 2, -2)",-0.00269835805169208
"electrostatic:grid:(-2, 2, 2)",-0.04499830473131172
"electrostatic:grid:(-2, 3, -2)",0.025041841157287085
"electrostatic:grid:(-2, 3, 2)",0.04937281658351615
"electrostatic:grid:(-1, 1, 1)",-0.1148877829951909
"electrostatic:grid:(-1, 1, 3)",0.17335446296346524
"electrostatic:grid:(-1, 2, 2)",-0.019898307587084087
"electrostatic:grid:(-1, 3, -1)",-0.019378804309333912
"electrostatic:grid:(-1, 3, 3)",-0.011085269714479958
"electrostatic:grid:(1, 3, -2)",-0.08136853925838627
"electrostatic:grid:(1, 3, -1)",0.02315330138539668
"electrostatic:grid:(1, 3, 1)",0.09907994660629071
"electrostatic:grid:(2, 2, -2)",0.06584460412371733
"electrostatic:grid:(2, 3, -1)",0.0307068886162465
"orbital:grid:(-1, 1, -1)",-0.018227019483997412
"orbital:grid:(1, 1, -1)",0.035956371005125144
"orbital:grid:(1, 1, 1)",0.010161453114219999
electronic:summary:min,0.0724713635156503
electrostatic:summary:min,-0.29503964653772535
