outer_model,holdout_entry,holdout_name,checks_passed,all_8_correct,failed_checks,semiquant_rmse_percent,semiquant_mae_percent
0,C16,1-chloropinacolin,8,True,,12.829040717976046,10.10327619740601
1,A12,"2,2,2-trifluoroacetophenone",8,True,,12.553420671151663,10.290279529221188
2,D11,"4,4-dimethylcyclohexanone",8,True,,14.090519804103888,11.668584620608303
3,B5,2-indanone,8,True,,13.612930604979196,10.906813351833016
4,D12(trans),4-tert-butylcyclohexanone (trans),6,False,a:initial:2;a:final:2-4,20.19765750379519,14.589405282817122
5,D12(cis),4-tert-butylcyclohexanone (cis),8,True,,13.00005179227455,9.885303325250604
6,D8(trans),2-methylcyclohexanone(trans),8,True,,17.379865509282837,12.332370751106794
7,D8(cis),2-methylcyclohexanone(cis),5,False,a:initial:2;b:initial:1;a:final:2-4,35.028500993471305,22.214493062759075
8,A4,4'-nitroacetophenone,8,True,,12.755829609502696,10.172474326706237
9,D9(cis),3-methylcyclohexanone (cis),8,True,,14.011780639970292,11.431035748672041
10,D9(trans),3-methylcyclohexanone (trans),8,True,,12.479481764465847,10.489060417704234
11,C3,4-phenyl-3-butyn-2-one,8,True,,20.093322016946345,14.580391292101849
12,A9,3'-nitroacetophenone,8,True,,13.331540373035168,9.506346313118271
13,B6,2-tetralone,8,True,,13.143822420549695,10.924319143963434
14,D10(trans),4-methylcyclohexanone (trans),8,True,,12.435975354652548,10.219561553063008
15,D10(cis),4-methylcyclohexanone (cis),7,False,a:initial:2,20.583105855967567,15.483798354981726
16,D4,cyclohexanone,8,True,,12.538155380938257,10.52416317517628
17,A11,3'-(trifluoromethyl)acetophenone,8,True,,13.234798606584505,10.926027750028446
18,E4,2-adamantanone,8,True,,13.516492080023227,11.01328595582777
19,A6,4'-(trifluoromethyl)acetophenone,8,True,,12.383344752024414,9.822732195249571
20,C8,2-fluorophenylacetone,8,True,,16.557978517035245,13.675570578873803
21,C2,4-phenyl-2-butanone,8,True,,13.781481207185166,11.460006081600712
22,C4,"1,1-dimethoxy-3-butanone",8,True,,13.264143156774248,10.86103141441135
23,C6,1-cyclopentylethanone,8,True,,12.54980670186304,10.00451100015946
24,B2,5-chloro-1-indanone,8,True,,14.427707035333464,11.68290128751573
25,C5,2-nonanone,8,True,,13.743129713034783,10.845162836078522
26,D14(trans),"3,3,5-trimethylcyclohexanone(trans)",8,True,,12.253380244199871,10.210828606988825
27,D14(cis),"3,3,5-trimethylcyclohexanone(cis)",8,True,,16.903930501054038,13.063797115165794
28,A5,4'-chloroacetophenone,8,True,,17.829813675295213,13.351442773870478
29,A18,"2,2-dimethyl-1-phenylpropan-1-one",8,True,,13.391228814203702,10.808517906581123
30,A10,3'-chloroacetophenone,8,True,,13.768550566480565,10.659776376599336
31,B10,dibenzosuberenone,7,False,c:initial:2,20.793705919833954,14.240236204149532
32,E2(endo),2-norbornanone (endo),8,True,,13.159234120184768,10.774641959429843
33,E2(exo),2-norbornanone (exo),8,True,,11.097420369757481,9.018461307180356
34,D5,cycloheptanone,8,True,,12.512747559585014,10.135299352202047
35,C7,"1,1-diphenylacetone",8,True,,15.175099391654538,12.331729053119702
36,C1,2'-acetonaphthone,8,True,,13.775056854265173,11.54582846914068
37,D3,"2,2-dimethylcyclopentanone",8,True,,22.028935908723614,16.11692434970454
38,D13(trans),"2,2,6-trimethylcyclohexanone (trans)",7,False,c:initial:2,18.08810909603461,13.164750413078062
39,D13(cis),"2,2,6-Trimethylcyclohexanone-2",8,True,,15.593926475996891,10.557495488297786
40,C13,5-nonanone,8,True,,13.587152509713519,11.05649358884595
41,D15,"3,3,5,5-tetramethylcyclohexan-1-one",8,True,,13.140159948738152,10.92041429194268
42,A1,acetophenone,8,True,,13.43163309024998,11.163554058755796
43,A16,isobutyrophenone,8,True,,12.238428977048452,9.87295105025518
44,A7,3'-methylacetophenone,8,True,,12.993728312410111,10.801717713254973
45,A8,3'-methoxyacetophenone,8,True,,14.065911350459846,11.075478787258678
46,B1,1-indanone,8,True,,12.985765909394258,10.765601024102718
47,A14,propiophenone,8,True,,15.922148419300756,10.762841387516556
48,A20,cyclobutyl phenyl ketone,8,True,,13.965641894842177,11.403256341178519
49,B3,1-tetralone,7,False,c:initial:2,21.955366625687414,15.541047662365726
50,A23,cyclohexyl phenyl ketone,8,True,,13.262841997423818,11.042262480925583
51,A19,valerophenone,8,True,,13.198975460433061,10.733886166189787
52,A15,butyrophenone,8,True,,13.451108806517603,11.18446237978023
53,B4,1-benzosuberone,8,True,,13.976530496463749,11.51252451842032
54,A24,benzophenone,8,True,,13.117992495664614,10.92310589066124
55,A2,4'-methylacetophenone,8,True,,14.38932145088499,12.180768793859194
56,A22,cyclopentyl phenyl ketone,8,True,,14.027423513090012,10.807878171591373
57,D16(trans),(-)-menthone (eq),8,True,,20.030426605073288,15.632468435042222
58,D16(cis),(-)-menthone (ax),8,True,,20.34861909784946,14.52135629603954
59,A17,cyclopropyl phenyl ketone,8,True,,13.801751320585948,11.172875028382842
60,D6,cyclooctanone,8,True,,13.401811901566184,11.10353155855859
61,D2(trans),2-cyclopentylcyclopentanone(trans),7,False,c:initial:2,19.794362868060514,11.506559442590788
62,D2(cis),2-cyclopentylcyclopentanone(cis),8,True,,17.26449255691427,13.134260063802849
63,D7,cyclododecanone,8,True,,13.795275921822919,11.618092021283545
64,A3,4'-methoxyacetophenone,7,False,c:initial:2,17.951966356759307,12.155116040537564
65,A21,isovalerophenone,8,True,,12.596924582241222,10.457777710456066
66,C15,dicyclohexylketone,8,True,,12.59699012755284,9.8308679386525
67,B9,dibenzosuberone,4,False,a:initial:2;b:initial:1;a:final:2-4;e:final:2-3,37.08994008435046,24.790289759971685
68,C14,"2,6-dimethyl-4-heptanone",8,True,,13.473924021153017,10.999952277132044
69,B8,"10,10-Dimethylanthracen-9(10H)-one",8,True,,15.475380845243533,12.29023580336428
70,E1(exo),camphor (exo),8,True,,11.930002414232355,9.678275045478472
71,E1(endo),camphor (endo),6,False,a:initial:2;a:final:2-4,20.02828059920811,14.420354005697117
72,E3(endo),fenchone (endo),8,True,,11.981502010699955,9.694362834841552
73,E3(exo),fenchone (exo),8,True,,17.528790412160326,14.380372527333233
74,A25,"2,2,2-triphenylacetophenone",7,False,c:initial:2,23.148558910623176,18.075008288589807
75,A13,Benzoylacetonitrile,8,True,,16.8868990116776,13.43469198000511
76,E5(exo),Bicyclo[2.2.2]hept-5en-2one(exo),8,True,,13.485764177553978,9.624128088087335
77,E5(endo),Bicyclo[2.2.2]hept-5en-2one(endo),8,True,,14.630099316098034,11.789337759232035
78,C12,dicyclopropyl ketone,7,False,c:initial:2,18.903781071284907,13.297107538506928
79,C10,6-methyl-5-hepten-2-one,8,True,,13.100741070883934,10.852680010300146
80,D17,"1,4-Cyclohexanedion monoethyleneketal",8,True,,12.004178527429033,9.380923274685278
81,C9,5-Chloro-2-pentanone,8,True,,13.283967903549055,9.921186404293945
82,C17,5-methyl-3-heptanone,8,True,,12.84785993878332,10.339413068373162
