feature,coefficient
"electronic:grid:(-5, 1, 1)",-0.044279042844053755
"electronic:grid:(-5, 1, 2)",-0.07857245085557309
"electronic:grid:(-5, 2, 1)",0.0024121507399870036
"electronic:grid:(-4, 1, -2)",0.037623706088463764
"electronic:grid:(-4, 1, 2)",0.08912809721943653
"electronic:grid:(-4, 2, -2)",0.02134489288323701
"electronic:grid:(-4, 3, -2)",0.04078027347458568
"electronic:grid:(-3, 1, -2)",0.03282020791556453
"electronic:grid:(-3, 1, 2)",0.05641381657704722
"electronic:grid:(-3, 2, -1)",-0.10506915675961785
"electronic:grid:(-3, 3, -2)",-0.04892333490713615
"electronic:grid:(-2, 2, -2)",0.07184965717669897
"electronic:grid:(-2, 2, 1)",0.012372815908766032
"electronic:grid:(-2, 2, 2)",0.22143678764287444
"electronic:grid:(-2, 3, -2)",0.06345162357896825
"electronic:grid:(-1, 3, -1)",-0.08054811820436225
"electronic:grid:(-1, 3, 3)",0.15132681120787958
"electronic:grid:(1, 1, -2)",0.07055555001470276
"electronic:grid:(1, 3, -2)",-0.009561985246996358
"electronic:grid:(1, 3, 1)",0.006604398900786116
"electronic:grid:(1, 3, 2)",-0.01678898748249057
"electronic:grid:(2, 2, -2)",0.10646916830352006
"electronic:grid:(2, 2, -1)",0.04919015592466115
"electronic:grid:(2, 3, 3)",0.013946782314887784
"electrostatic:grid:(-5, 1, 1)",-0.04225359811743949
"electrostatic:grid:(-5, 2, 3)",-0.006341104320468532
"electrostatic:grid:(-5, 3, -1)",0.018749744982629588
"electrostatic:grid:(-3, 1, 1)",-0.019493161114716388
"electrostatic:grid:(-3, 1, 3)",0.1789846675723813
"electrostatic:grid:(-3, 2, -1)",-0.051882444527014966
"electrostatic:grid:(-3, 2, 1)",-0.014152359016912131
"electrostatic:grid:(-3, 2, 2)",-0.10136649187499533
"electrostatic:grid:(-3, 3, 1)",-0.042732023394788016
"electrostatic:grid:(-2, 1, -2)",-0.005503185709754297
"electrostatic:grid:(-2, 2, -2)",-0.0026983580516910773
"electrostatic:grid:(-2, 2, 2)",-0.0449983047313127
"electrostatic:grid:(-2, 3, -2)",0.025041841157285704
"electrostatic:grid:(-2, 3, 2)",0.049372816583517075
"electrostatic:grid:(-1, 1, 1)",-0.11488778299519065
"electrostatic:grid:(-1, 1, 3)",0.17335446296346377
"electrostatic:grid:(-1, 2, 2)",-0.019898307587084916
"electrostatic:grid:(-1, 3, -1)",-0.019378804309335404
"electrostatic:grid:(-1, 3, 3)",-0.011085269714480178
"electrostatic:grid:(1, 3, -2)",-0.08136853925838788
"electrostatic:grid:(1, 3, -1)",0.023153301385398697
"electrostatic:grid:(1, 3, 1)",0.09907994660629255
"electrostatic:grid:(2, 2, -2)",0.06584460412372117
"electrostatic:grid:(2, 3, -1)",0.030706888616245095
"orbital:grid:(-1, 1, -1)",-0.018227019483995875
"orbital:grid:(1, 1, -1)",0.035956371005125824
"orbital:grid:(1, 1, 1)",0.010161453114222861
electronic:summary:min,0.0724713635156515
electrostatic:summary:min,-0.2950396465377249
