entry,name,InChIKey,ΔΔG.expt.,test,fulltrain_prediction,electronic_contribution,electrostatic_contribution,orbital_contribution,intercept,role,contribution_change,experimental_change,used_for_linear_fit
C16,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,-2.6011302940242405,0,-2.55795231512298,3.543367042249189,-2.1168969623343594,0.5720461403065314,-4.556468535344341,training,-0.03161749819027637,-2.120028733661818,True
C3,4-phenyl-3-butyn-2-one,UPEUQDJSUFHFQP-UHFFFAOYSA-N,-1.8066202652671985,0,-1.7081068906329677,2.3890192200821745,-0.09715039138692719,0.5564928160161263,-4.556468535344341,training,-1.1859653203572909,-1.3255187049047759,True
C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,-1.1844708922616534,0,-1.084520109139953,3.3221610134486865,-0.431267113207161,0.5810545259628628,-4.556468535344341,training,-0.2528235269907788,-0.7033693318992307,True
C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,-1.139750790027024,0,-1.244984434596594,3.4958304185332176,-0.6727974981876739,0.4884511804022046,-4.556468535344341,training,-0.07915412190624771,-0.6586492296646014,True
C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,-0.8821075033688486,0,-0.9489300188788699,3.136883178096418,-0.10320541306376603,0.5738607514328183,-4.556468535344341,training,-0.4381013623430472,-0.4010059430064259,True
C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,-0.8741251315776558,0,-0.7311124090466512,3.101176948518849,0.2581852044478639,0.4659939733309777,-4.556468535344341,training,-0.4738075919206164,-0.3930235712152331,True
C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,-0.7959106766567086,0,-0.6110515724383143,3.7210971935504684,-0.29239265718217744,0.516712426537735,-4.556468535344341,training,0.14611265311100308,-0.3148091162942859,True
C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,-0.5180692507674259,0,-0.5074581154425681,4.0673489021913785,-0.5878310324314023,0.5694925501417964,-4.556468535344341,training,0.4923643617519131,-0.03696769040500325,True
C1,2'-acetonaphthone,XSAYZAUNJMRRIR-UHFFFAOYSA-N,-0.4811015603624227,0,-0.4055921790999788,3.5749845404394653,0.06124448489124311,0.5146473309136539,-4.556468535344341,training,0.0,0.0,False
C13,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,-0.27993769334018254,0,0.08793793089046797,4.395938213737377,-0.24845618620931195,0.4969244387067447,-4.556468535344341,training,0.8209536732979119,0.20116386702224015,True
C15,dicyclohexylketone,TWXWPPKDQOWNSX-KHWBWMQUSA-N,0.8026917544773513,0,0.692469552396477,4.368622692673263,0.29257859721728574,0.5877367978502696,-4.556468535344341,training,0.7936381522337976,1.283793314839774,True
C14,"2,6-dimethyl-4-heptanone",PTTPXKJBFFKCEK-HOSYLAQJSA-N,1.3304461412441473,0,1.2141566312738954,5.318926995925903,-0.0727104311003584,0.5244086017926927,-4.556468535344341,training,1.7439424554864376,1.81154770160657,True
C12,dicyclopropyl ketone,BIPUHAHGLJKIPK-UHFFFAOYSA-N,1.8676716423900361,0,1.5319102427470268,4.908702133430256,0.5492775782096961,0.630399066451417,-4.556468535344341,training,1.3337175929907907,2.348773202752459,True
C10,6-methyl-5-hepten-2-one,UHEPJGULSIKKTP-UHFFFAOYSA-N,-0.9096373785584596,0,-0.9231381584280571,3.507629609216589,-0.4014725196621824,0.5271732873618765,-4.556468535344341,training,-0.0673549312228765,-0.4285358181960369,True
C9,5-Chloro-2-pentanone,XVRIEWDDMODMGA-UHFFFAOYSA-N,-1.2087555629071842,0,-1.179255311581044,3.7769687094122806,-0.955350389028372,0.5555949033793881,-4.556468535344341,training,0.20198416897281524,-0.7276540025447615,True
C17,5-methyl-3-heptanone,PSBKJPTZCVYXSD-UHFFFAOYSA-N,0.3876474635333945,0,0.21138042665523304,4.443625561661123,-0.21759419070223923,0.5418175910406895,-4.556468535344341,training,0.8686410212216575,0.8687490238958172,True
C11,trans-benzalacetone,BWHOZHOGCMHOBV-BQYQJAHWSA-N,-0.505017043351223,1,-1.3022104769697096,2.5227068240924733,0.17867342952717363,0.5528778047549848,-4.556468535344341,excluded_monoketone,-1.052277716346992,-0.023915482988800307,True
