feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
0,"electronic:grid:(-5, 1, -2)",electronic,grid,-5.0,1.0,-2.0,-5.291772109029999,1.058354421806,-2.116708843612,5.796845906584836,-0.0,False,0.2289156626506024,-0.0018970629237143155,0.0,-0.0019322976957344361,-0.0,-0.006258860231735254,1.0,negative,0.0,0.0,0.0,0.0
1,"electronic:grid:(-5, 1, -1)",electronic,grid,-5.0,1.0,-1.0,-5.291772109029999,1.058354421806,-1.058354421806,5.499370892949523,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
2,"electronic:grid:(-5, 1, 1)",electronic,grid,-5.0,1.0,1.0,-5.291772109029999,1.058354421806,1.058354421806,5.499370892949523,-0.04427904284405511,True,1.0,-0.04352719998191746,-0.045241050209712814,-0.05048291110362555,-0.03839264524463451,-0.045241050209712814,1.0,negative,0.13761795852830694,0.10423042814005708,0.4129767370028926,0.04427904284405511
3,"electronic:grid:(-5, 1, 2)",electronic,grid,-5.0,1.0,2.0,-5.291772109029999,1.058354421806,2.116708843612,5.796845906584836,-0.07857245085557389,True,1.0,-0.07442301778324072,-0.07665534644451831,-0.07946066105992497,-0.06869612673483828,-0.07665534644451831,1.0,negative,0.1775501440844703,0.14308265062869224,0.6672834001250669,0.07857245085557389
4,"electronic:grid:(-5, 1, 3)",electronic,grid,-5.0,1.0,3.0,-5.291772109029999,1.058354421806,3.1750632654179998,6.26130919820056,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
5,"electronic:grid:(-5, 2, -2)",electronic,grid,-5.0,2.0,-2.0,-5.291772109029999,2.116708843612,-2.116708843612,6.0797832783051,0.0,False,0.012048192771084338,1.983701998286127e-05,0.0,0.0,0.0,0.0016464726585774853,1.0,positive,0.0,0.0,0.0,0.0
6,"electronic:grid:(-5, 2, -1)",electronic,grid,-5.0,2.0,-1.0,-5.291772109029999,2.116708843612,-1.058354421806,5.796845906584836,0.0,False,0.08433734939759036,0.000382799048212806,0.0,0.0,0.0,0.0023032335708914327,1.0,positive,0.0,0.0,0.0,0.0
7,"electronic:grid:(-5, 2, 1)",electronic,grid,-5.0,2.0,1.0,-5.291772109029999,2.116708843612,1.058354421806,5.796845906584836,0.0024121507399874004,True,0.6506024096385542,0.0038217907387999807,0.001967017749752949,0.0,0.007518500703703653,0.0038423685213453862,1.0,positive,0.0069565167140104274,0.0051416102095908295,0.0243993805288856,0.0015693510838472244
8,"electronic:grid:(-5, 2, 2)",electronic,grid,-5.0,2.0,2.0,-5.291772109029999,2.116708843612,2.116708843612,6.0797832783051,0.0,False,0.024096385542168676,2.6002562425748663e-05,0.0,0.0,0.0,0.0010791063406685696,1.0,positive,0.0,0.0,0.0,0.0
9,"electronic:grid:(-5, 2, 3)",electronic,grid,-5.0,2.0,3.0,-5.291772109029999,2.116708843612,3.1750632654179998,6.52413481788504,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
10,"electronic:grid:(-5, 3, -2)",electronic,grid,-5.0,3.0,-2.0,-5.291772109029999,3.1750632654179998,-2.116708843612,6.52413481788504,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
11,"electronic:grid:(-5, 3, -1)",electronic,grid,-5.0,3.0,-1.0,-5.291772109029999,3.1750632654179998,-1.058354421806,6.26130919820056,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
12,"electronic:grid:(-5, 3, 1)",electronic,grid,-5.0,3.0,1.0,-5.291772109029999,3.1750632654179998,1.058354421806,6.26130919820056,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
13,"electronic:grid:(-5, 3, 2)",electronic,grid,-5.0,3.0,2.0,-5.291772109029999,3.1750632654179998,2.116708843612,6.52413481788504,-0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
14,"electronic:grid:(-5, 3, 3)",electronic,grid,-5.0,3.0,3.0,-5.291772109029999,3.1750632654179998,3.1750632654179998,6.940094057916033,-0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
15,"electronic:grid:(-4, 1, -2)",electronic,grid,-4.0,1.0,-2.0,-4.233417687224,1.058354421806,-2.116708843612,4.849989250017216,0.03762370608846443,True,1.0,0.03817914701708323,0.037744628125770334,0.03109841692065557,0.04341660726827586,0.037744628125770334,1.0,positive,0.1325423242129472,0.11488365135816482,0.30119441595278174,0.03762370608846443
16,"electronic:grid:(-4, 1, -1)",electronic,grid,-4.0,1.0,-1.0,-4.233417687224,1.058354421806,-1.058354421806,4.490217531346741,0.0,False,0.07228915662650602,0.0004288280783478095,0.0,0.0,0.0,0.002324528039929945,1.0,positive,0.0,0.0,0.0,0.0
17,"electronic:grid:(-4, 1, 1)",electronic,grid,-4.0,1.0,1.0,-4.233417687224,1.058354421806,1.058354421806,4.490217531346741,0.0,False,0.012048192771084338,2.535553917859667e-05,0.0,0.0,0.0,0.0021045097518235236,1.0,positive,0.0,0.0,0.0,0.0
18,"electronic:grid:(-4, 1, 2)",electronic,grid,-4.0,1.0,2.0,-4.233417687224,1.058354421806,2.116708843612,4.849989250017216,0.08912809721943711,True,1.0,0.08652293696409469,0.08831783165738187,0.07955837151656227,0.09422284123528361,0.08831783165738187,1.0,positive,0.3164912891484907,0.27606558763846606,0.7133111108974494,0.08912809721943711
