block,radial_shell_angstrom,candidate_grid_n,fulltrain_nonzero_grid_n,sum_abs_coefficient,coefficient_l2,quadrature_centered_effect_rms_kcal_mol,mean_outer_selection_frequency,stable_grid_n_frequency_ge_0_5
electronic,0-2,4.0,0.0,0.0,0.0,0.0,0.0,0.0
electronic,2-3,12.0,1.0,0.07055555001470032,0.07055555001470032,0.07815575979214248,0.08333333333333333,1.0
electronic,3-4,40.0,12.0,0.7691252560433889,0.30051488734319903,0.7534970797164768,0.28373493975903613,12.0
electronic,4-5,24.0,6.0,0.4044003553167749,0.19716307649840462,0.49946444442076954,0.2590361445783133,6.0
electronic,>=5,25.0,5.0,0.18738881079743835,0.10128532616666898,0.2526003979871896,0.21783132530120483,5.0
electrostatic,0-2,4.0,1.0,0.1148877829951909,0.1148877829951909,0.09769007663254164,0.25,1.0
electrostatic,2-3,12.0,0.0,0.0,0.0,0.0,0.032128514056224904,0.0
electrostatic,3-4,40.0,14.0,0.6515126680013228,0.24168140197549862,0.6037059981539377,0.3325301204819277,14.0
electrostatic,4-5,24.0,6.0,0.4085831102974462,0.21754161614511972,0.7376219459507574,0.3007028112449799,7.0
electrostatic,>=5,25.0,3.0,0.067344447420534,0.04665971597413031,0.1479790622056032,0.1325301204819277,3.0
orbital,0-2,4.0,3.0,0.06434484360334256,0.041573308558746164,0.07029633664941935,0.5933734939759037,3.0
orbital,2-3,12.0,0.0,0.0,0.0,0.0,0.0,0.0
orbital,3-4,40.0,0.0,0.0,0.0,0.0,0.0,0.0
orbital,4-5,24.0,0.0,0.0,0.0,0.0,0.0,0.0
orbital,>=5,25.0,0.0,0.0,0.0,0.0,0.0,0.0
