feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
0,"electronic:grid:(-5, 1, -2)",electronic,grid,-5.0,1.0,-2.0,-5.291772109029999,1.058354421806,-2.116708843612,5.796845906584836,-0.0,False,0.2289156626506024,-0.0018970629237141982,0.0,-0.0019322976957340397,-0.0,-0.006258860231732949,1.0,negative,0.0,0.0,0.0,0.0
1,"electronic:grid:(-5, 1, -1)",electronic,grid,-5.0,1.0,-1.0,-5.291772109029999,1.058354421806,-1.058354421806,5.499370892949523,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
2,"electronic:grid:(-5, 1, 1)",electronic,grid,-5.0,1.0,1.0,-5.291772109029999,1.058354421806,1.058354421806,5.499370892949523,-0.04427904284405549,True,1.0,-0.04352719998191731,-0.04524105020971206,-0.05048291110362464,-0.03839264524463513,-0.04524105020971206,1.0,negative,0.1376179585283081,0.10423042814005792,0.41297673700289617,0.04427904284405549
3,"electronic:grid:(-5, 1, 2)",electronic,grid,-5.0,1.0,2.0,-5.291772109029999,1.058354421806,2.116708843612,5.796845906584836,-0.07857245085557309,True,1.0,-0.07442301778324094,-0.07665534644451596,-0.07946066105992326,-0.06869612673484002,-0.07665534644451596,1.0,negative,0.17755014408446854,0.14308265062869077,0.66728340012506,0.07857245085557309
4,"electronic:grid:(-5, 1, 3)",electronic,grid,-5.0,1.0,3.0,-5.291772109029999,1.058354421806,3.1750632654179998,6.26130919820056,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
5,"electronic:grid:(-5, 2, -2)",electronic,grid,-5.0,2.0,-2.0,-5.291772109029999,2.116708843612,-2.116708843612,6.0797832783051,0.0,False,0.012048192771084338,1.9837019982761238e-05,0.0,0.0,0.0,0.0016464726585691826,1.0,positive,0.0,0.0,0.0,0.0
6,"electronic:grid:(-5, 2, -1)",electronic,grid,-5.0,2.0,-1.0,-5.291772109029999,2.116708843612,-1.058354421806,5.796845906584836,0.0,False,0.08433734939759036,0.0003827990482127724,0.0,0.0,0.0,0.002303233570893972,1.0,positive,0.0,0.0,0.0,0.0
7,"electronic:grid:(-5, 2, 1)",electronic,grid,-5.0,2.0,1.0,-5.291772109029999,2.116708843612,1.058354421806,5.796845906584836,0.0024121507399854293,True,0.6506024096385542,0.0038217907387999347,0.001967017749752161,0.0,0.007518500703703512,0.0038423685213449885,1.0,positive,0.006956516714004743,0.005141610209586628,0.024399380528865665,0.001569351083845942
8,"electronic:grid:(-5, 2, 2)",electronic,grid,-5.0,2.0,2.0,-5.291772109029999,2.116708843612,2.116708843612,6.0797832783051,0.0,False,0.024096385542168676,2.6002562425744323e-05,0.0,0.0,0.0,0.0010791063406683894,1.0,positive,0.0,0.0,0.0,0.0
9,"electronic:grid:(-5, 2, 3)",electronic,grid,-5.0,2.0,3.0,-5.291772109029999,2.116708843612,3.1750632654179998,6.52413481788504,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
