entry,name,InChIKey,electronic_centered_grid_contribution,electronic_centered_total_contribution,electrostatic_centered_grid_contribution,electrostatic_centered_total_contribution,orbital_centered_grid_contribution,orbital_centered_total_contribution
C16,1-chloropinacolin,ULSAJQMHTGKPIY-UHFFFAOYSA-N,-0.003686226666142766,-0.01592292968224558,-1.4378566159778,-2.135489854016969,0.02078453051257525,0.02078453051257525
A12,"2,2,2-trifluoroacetophenone",KZJRKRQSDZGHEC-UHFFFAOYSA-N,-0.6108396135634772,-0.6230767001324917,-0.1922883778111799,-1.1396900919367212,-0.11421263458179087,-0.11421263458179087
D11,"4,4-dimethylcyclohexanone",PXQMSTLNSHMSJB-LBPDFUHNSA-N,-1.5947536990052777,-1.6069908004841027,-0.11215784580129384,0.1172033441709584,-0.04436184976139818,-0.04436184976139818
B5,2-indanone,UMJJFEIKYGFCAT-HOSYLAQJSA-N,0.21877101989042727,0.20653392186328876,-1.6063077202423537,-1.7989780533839335,-0.021748567392439386,-0.021748567392439386
D12(trans),4-tert-butylcyclohexanone (trans),YKFKEYKJGVSEIX-KWYDOPHBSA-N,-2.929923732611923,-2.9421608346491914,0.9422661958774544,1.0116449989811247,0.13684142233484878,0.13684142233484878
D12(cis),4-tert-butylcyclohexanone (cis),YKFKEYKJGVSEIX-BAUXJJEQSA-N,-0.5152239109533135,-0.5274610161795728,-0.7369522486453893,-0.7394837611935523,0.12961368679748217,0.12961368679748217
D8(trans),2-methylcyclohexanone(trans),LFSAPCRASZRSKS-LURJTMIESA-N,-1.9697624343615654,-1.9819949307966247,0.09563983695489961,0.4387394002546051,-0.0957456997857957,-0.0957456997857957
D8(cis),2-methylcyclohexanone(cis),LFSAPCRASZRSKS-ZCFIWIBFSA-N,-0.38048776536052753,-0.39272484224250775,-1.1611632070191868,-0.8102373499965937,-0.10202595831751352,-0.10202595831751352
A4,4'-nitroacetophenone,YQYGPGKTNQNXMH-UHFFFAOYSA-N,-0.07656936762509724,-0.08880647227816932,-0.6580031731821212,-1.4270146472527947,-0.023285734184066962,-0.023285734184066962
D9(cis),3-methylcyclohexanone (cis),UJBOOUHRTQVGRU-ZCFIWIBFSA-N,-2.273535718442345,-2.285772821597101,0.3168174593577814,0.5462439754618489,-0.01141544643439555,-0.01141544643439555
D9(trans),3-methylcyclohexanone (trans),UJBOOUHRTQVGRU-LURJTMIESA-N,-0.4828203028761813,-0.4950568522175484,-0.5902749537876513,-0.4134047903448102,-0.016701552771276128,-0.016701552771276128
C3,4-phenyl-3-butyn-2-one,UPEUQDJSUFHFQP-UHFFFAOYSA-N,-1.1580336466231882,-1.1702707518492563,-0.11081659227473609,-0.11574328306954985,0.005231206222183602,0.005231206222183602
A9,3'-nitroacetophenone,ARKIFHPFTHVKDT-UHFFFAOYSA-N,-0.24793009599308377,-0.260157907029667,-0.4859922907913067,-1.2535001687687357,0.07520433435914269,0.07520433435914269
B6,2-tetralone,KCKZIWSINLBROE-UHFFFAOYSA-N,-0.029162420148344255,-0.04139947810126146,-1.167180473151581,-1.235290506490053,-0.022556830769832215,-0.022556830769832215
D10(trans),4-methylcyclohexanone (trans),VGVHNLRUAMRIEW-NFPUQWBCSA-N,-3.0389442967315436,-3.0511814002210422,0.683885506656774,0.9031746405748704,-0.0037872379004666645,-0.0037872379004666645
D10(cis),4-methylcyclohexanone (cis),VGVHNLRUAMRIEW-TXNNBAIQSA-N,-0.7756892389452357,-0.7879263437503571,-0.8139202860792659,-0.569881265098769,-0.012092828043153953,-0.012092828043153953
D4,cyclohexanone,JHIVVAPYMSGYDF-AZXPZELESA-N,-1.4811203359073815,-1.4933574395532565,-0.2881879771418125,-0.17179013924983305,0.06931571537467632,0.06931571537467632
A11,3'-(trifluoromethyl)acetophenone,ABXGMGUHGLQMAW-UHFFFAOYSA-N,-0.25079076189035465,-0.26296024851149546,-0.38494822186363453,-0.7748319867359924,-0.05285327184115385,-0.05285327184115385
E4,2-adamantanone,IYKFYARMMIESOX-VJJZLTLGSA-N,-2.6994849163063246,-2.711721993063489,1.4245959282952005,1.4719378741954832,0.18068842262000617,0.18068842262000617
A6,4'-(trifluoromethyl)acetophenone,HHAISVSEJFEWBZ-UHFFFAOYSA-N,-0.04056677104524978,-0.05280387477887084,-0.4050837321492913,-0.7244579487775271,-0.10996396304484067,-0.10996396304484067
C8,2-fluorophenylacetone,BANVZEUCJHUPOI-UHFFFAOYSA-N,-0.22492826749239378,-0.23712895848274834,-0.35042570760201414,-0.4498600048897642,0.02979291616890465,0.02979291616890465
C2,4-phenyl-2-butanone,AKGGYBADQZYZPD-UHFFFAOYSA-N,-0.0512224481719517,-0.06345955339821112,-0.6574994502315574,-0.6913903898702847,-0.06281042939175194,-0.06281042939175194
C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,-0.4103024750740055,-0.4224067938349957,0.07587817573882955,-0.12179830474639178,0.0225991416388604,0.0225991416388604
C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,-0.4458982839832367,-0.4581130234125872,0.046597670583110186,0.2395923127652608,-0.08526763646297983,-0.08526763646297983
B2,5-chloro-1-indanone,MEDSHTHCZIOVPU-UHFFFAOYSA-N,0.7270576501159504,0.7148241294375707,-1.0899477244206361,-1.1138753823619914,-0.00933250574987638,-0.00933250574987638
C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,0.17404432684530638,0.16180722161904695,-0.36720615455652833,-0.31098554886479296,-0.03454918325622235,-0.03454918325622235
D14(trans),"3,3,5-trimethylcyclohexanone(trans)",POSWICCRDBKBMH-ZETCQYMHSA-N,0.2468847335842148,0.23490399810030452,-0.994049377780948,-0.8729839846207224,0.021944511916461476,0.021944511916461476
D14(cis),"3,3,5-trimethylcyclohexanone(cis)",POSWICCRDBKBMH-SSDOTTSWSA-N,-2.2207759352899745,-2.2285721545764035,2.354532214525757,2.547343487935221,0.023688554380052136,0.023688554380052136
A5,4'-chloroacetophenone,BUZYGTVTZYSBCU-UHFFFAOYSA-N,-0.17541896495278625,-0.18765606715303754,-0.12743361907423176,-0.4365899621614774,0.011055614239463534,0.011055614239463534
A18,"2,2-dimethyl-1-phenylpropan-1-one",OECPUBRNDKXFDX-UHFFFAOYSA-N,-0.24054920409900593,-0.2527832378508661,0.12543476249679456,0.05367026379300799,-0.12222845468868092,-0.12222845468868092
A10,3'-chloroacetophenone,UUWJBXKHMMQDED-UHFFFAOYSA-N,-0.15107379570042664,-0.16330563803343692,0.13166765623940674,-0.22051438008584995,0.02666946880042423,0.02666946880042423
B10,dibenzosuberenone,SNVTZAIYUGUKNI-KCKQSJSWSA-N,0.6862011617247563,0.6788800055074876,-0.44007528005132585,-0.6512965086334227,0.0028217962076823692,0.0028217962076823692
E2(endo),2-norbornanone (endo),KPMKEVXVVHNIEY-PRJDIBJQSA-N,-0.1424429342034713,-0.1546800358032035,-0.45134813648189864,-0.4858314215908937,0.15731514215950682,0.15731514215950682
E2(exo),2-norbornanone (exo),KPMKEVXVVHNIEY-GDVGLLTNSA-N,-0.2929698859413918,-0.30520566900190693,1.2606118147231657,1.2661812981085692,0.14661089879161587,0.14661089879161587
D5,cycloheptanone,CGZZMOTZOONQIA-HOSYLAQJSA-N,0.5266805827410049,0.5145702340818614,-0.9691017330826712,-0.720025719080822,-0.01616717058679378,-0.01616717058679378
C7,"1,1-diphenylacetone",DBNWBEGCONIRGQ-UHFFFAOYSA-N,0.11168517771676056,0.5080589302599476,-0.3721332702525143,-0.6064239241140098,0.018230940347838027,0.018230940347838027
C1,2'-acetonaphthone,XSAYZAUNJMRRIR-UHFFFAOYSA-N,0.02793105329727421,0.015694568508040484,-0.0007864607268715865,0.04265159320861812,-0.03661427888029166,-0.03661427888029166
D3,"2,2-dimethylcyclopentanone",FTGZMZBYOHMEPS-UHFFFAOYSA-N,1.2306404663660815,1.2184033628047266,-1.2129963500451977,-1.0502165423253784,-0.07247955611273489,-0.07247955611273489
D13(trans),"2,2,6-trimethylcyclohexanone (trans)",ZPVOLGVTNLDBFI-SSDOTTSWSA-N,-1.8832386743165184,-1.8954736815488242,0.749903209361556,1.3356780062187172,0.16794454055183244,0.16794454055183244
D13(cis),"2,2,6-Trimethylcyclohexanone-2",ZPVOLGVTNLDBFI-ZETCQYMHSA-N,0.10921941626841052,0.0969823177173122,-0.5664033790485244,0.056151292691398624,0.17077833649685187,0.17077833649685187
C13,5-nonanone,WSGCRAOTEDLMFQ-CDYZYAPPSA-N,0.8488853470322035,0.8366482418059441,-0.4946718264162114,-0.267049077891918,-0.05433717108721224,-0.05433717108721224
