block,x_side,z_side,candidate_grid_n,fulltrain_nonzero_grid_n,coefficient_sum,sum_abs_coefficient,quadrature_centered_effect_rms_kcal_mol,mean_outer_selection_frequency
electronic,x<0,z<0,30.0,9.0,0.033329751246395395,0.5024109709886313,0.4609673371837224,0.3224899598393574
electronic,x<0,z>0,45.0,8.0,0.4102389855963622,0.6559419729956202,0.7858404348636622,0.18232931726907634
electronic,x>0,z<0,12.0,4.0,0.21665288899589,0.23577685948988028,0.2337767604867611,0.2991967871485944
electronic,x>0,z>0,18.0,3.0,0.003762193733187801,0.03734016869817061,0.04949965124255346,0.14123159303882196
electrostatic,x<0,z<0,30.0,6.0,-0.035671206457879315,0.12325437873771214,0.13591474423302785,0.22409638554216868
electrostatic,x<0,z>0,45.0,13.0,-0.015496455748019647,0.8189203499867443,0.9111534355415882,0.3028112449799197
electrostatic,x>0,z<0,12.0,4.0,0.038336254866974236,0.20107333338374678,0.23562524237255542,0.321285140562249
electrostatic,x>0,z>0,18.0,1.0,0.09907994660629071,0.09907994660629071,0.189197160752089,0.05622489959839357
orbital,x<0,z<0,30.0,1.0,-0.018227019483997412,0.018227019483997412,0.041064265428307156,0.02971887550200803
orbital,x<0,z>0,45.0,0.0,0.0,0.0,0.0,0.0008032128514056224
orbital,x>0,z<0,12.0,1.0,0.035956371005125144,0.035956371005125144,0.05503427273059954,0.06726907630522089
orbital,x>0,z>0,18.0,1.0,0.010161453114219999,0.010161453114219999,0.015050909480028895,0.03547523427041499
