,cv_RMSE,cv_r2,regression_RMSE,regression_r2
Lasso 0.015625 cv,0.7875197240959785,0.5141238178758727,0.4950540738033,0.8079970029285395
Lasso 0.03125 cv,0.822595899435685,0.46987802040877247,0.6338362581851799,0.6852564139171592
Lasso 0.0625 cv,0.8999124764895583,0.3655414176778561,0.7857387142504529,0.516318992737242
Lasso 0.125 cv,0.9099779573192691,0.35126926308815987,0.8442447023936143,0.44160770272503946
Lasso 0.25 cv,1.0353634506474612,0.16017578956828415,0.9853421159903795,0.23936409393825153
Lasso 1.0 cv,1.2354464659943787,-0.19577809470739593,1.1297923630098903,0.0
Lasso 0.5 cv,1.1464341717940036,-0.02967691411923057,1.1247440985256683,0.008916657678693318
Lasso 0.0078125 cv,0.8442382042841154,0.44161629852745676,0.38002036275930146,0.8868599237994165
Lasso 0.00390625 cv,0.6535681795404603,0.6653548544705293,0.29951487058565957,0.9297187447525571
Lasso 0.001953125 cv,0.7041114554589673,0.6115943393788137,0.23567668851380652,0.9564853008669542
Ridge 0.0625 cv,1.0631360455707863,0.11451661461893214,0.11712808000564637,0.9892520712419478
Ridge 0.00390625 cv,1.4712167735260577,-0.6957275103810496,0.03572420188001991,0.9990001662319288
Ridge 0.015625 cv,1.271590930472059,-0.2667694287390219,0.06629044827054609,0.9965572566968284
Ridge 0.0078125 cv,1.3692539211525172,-0.4688272367013293,0.04951653681299985,0.9980791066389042
Ridge 0.001953125 cv,1.5725867097234758,-0.9374563756507297,0.024096497102004025,0.9995451056335481
Ridge 0.125 cv,0.953560682554927,0.2876402018366109,0.15396134131696895,0.9814293928615261
Ridge 0.03125 cv,1.1715454569289836,-0.07527864054706424,0.08811907353977873,0.9939166532006357
Ridge 0.25 cv,0.857497415035949,0.4239391385029052,0.1972353001660334,0.9695230135985562
Ridge 0.5 cv,0.7853232304385505,0.5168303802828451,0.2435783316706153,0.9535185108149492
Ridge 16.0 cv,0.7766710088273242,0.5274182793590219,0.5579668662990847,0.7560956474034717
Ridge 8.0 cv,0.7438125605130558,0.5665592429123032,0.47555135244125696,0.8228269862108294
Lasso 0.0009765625 cv,0.5397449981411824,0.7717661883583884,0.1723409304854352,0.9767308993921443
Ridge 2.0 cv,0.7223981489372973,0.5911575525068744,0.34213393308782836,0.9082945744635218
Ridge 4.0 cv,0.7248264696572595,0.5884043084037405,0.40289651775797025,0.8728285104700855
Ridge 1.0 cv,0.7408674707356077,0.569984823084202,0.29087202042893334,0.9337163179068815
Ridge 32.0 cv,0.8191673509988262,0.47428786769439424,0.6448312473638196,0.6742421579401376
ElasticNet 0.03125 0.5 cv,0.818113286009202,0.4756399192274249,0.5397331272925825,0.7717762275407393
ElasticNet 0.015625 0.5 cv,0.8320489040241053,0.45762403443373,0.4246314228021711,0.8587374673506449
ElasticNet 0.125 0.5 cv,0.89329295573298,0.3748409118084457,0.7988429695637629,0.5000511596375834
ElasticNet 0.0625 0.5 cv,0.8343330947543484,0.45464202055267133,0.6675891545749956,0.6508425799018227
ElasticNet 0.25 0.5 cv,0.9396881968469802,0.3082163806316366,0.8734030757011174,0.4023703106382147
ElasticNet 1.0 0.5 cv,1.1457372079734776,-0.028425329981042413,1.1268140052780644,0.005265448868419953
ElasticNet 0.5 0.5 cv,1.0526842237724863,0.13184162487252526,1.0082163625862273,0.2036385780457156
PLS 2 cv,0.8964990316105562,0.37034540058244914,0.8154864216436591,0.47900182879198083
PLS 1 cv,0.9827657514602853,0.24333654850968878,0.8910479618473701,0.37797922099179115
PLS 3 cv,0.9415052598669797,0.3055384077185692,0.7584535985108739,0.5493278064715986
PLS 4 cv,0.8403148295440238,0.44679412164690824,0.6024443370506123,0.7156609007464034
ElasticNet 0.0078125 0.5 cv,0.8333378768449453,0.4559422837861826,0.3400995397898011,0.9093819277480372
PLS 5 cv,0.7748467600261909,0.5296356768601795,0.550680066572187,0.762424614294589
PLS 6 cv,0.7656439797076219,0.5407422703736293,0.47995055379154433,0.8195338618750745
ElasticNet 0.00390625 0.5 cv,0.8034127800936953,0.4943148476565581,0.27199696619437475,0.942039669855669
PLS 7 cv,0.7646387941452066,0.5419473636466487,0.4097809812218462,0.8684453127112288
PLS 9 cv,0.7365041028522972,0.5750350896236498,0.3589026476742651,0.8990849232319252
OMP 1 cv,0.9845672684932711,0.24055991229033913,0.9568409487422627,0.28273071049849396
PLS 8 cv,0.746867225455816,0.5629918522304995,0.39372774803568894,0.8785507670487986
OMP 2 cv,0.9828339267584454,0.24323156409074753,0.9447703042863591,0.30071341165635557
OMP 3 cv,0.93950389541622,0.3084877136296732,0.8891038745125335,0.38069050834387297
PLS 10 cv,0.736737129773286,0.5747661327223073,0.31832931931715686,0.9206117896515804
PLS 12 cv,0.7642175888294707,0.5424518660793873,0.2851465765549251,0.936300055458504
OMP 5 cv,0.8445358707661593,0.4412224726777678,0.7700738761427398,0.5354125093377493
OMP 4 cv,0.9255251602135612,0.32891243829990646,0.8627790260615931,0.4168209844002341
PLS 11 cv,0.7516962865970528,0.5573224066818743,0.2991783075232611,0.9298766052586368
OMP 9 cv,0.7078081851415355,0.6075052142086783,0.6153528222345547,0.703345374678954
OMP 6 cv,0.8132959917446061,0.48179691470138797,0.7342825139965211,0.577594948880739
OMP 7 cv,0.7532571978508592,0.5554820414535617,0.6701929223051689,0.6481136627942365
OMP 8 cv,0.7349566004571061,0.5768190398324728,0.6502998483366313,0.6686934393873307
OMP 10 cv,0.6687552764335298,0.649621722122729,0.5729714027159156,0.7428013860445535
OMP 13 cv,0.6637664178477393,0.6548298089074729,0.5331354485319164,0.7773217238630767
Lasso 0.00048828125 cv,0.45424359864813535,0.8383482680161269,0.12459206630720701,0.987838601836328
OMP 11 cv,0.6595395635261202,0.6592118887495066,0.5555258652710319,0.758225051471122
OMP 14 cv,0.6624874654156923,0.6561586828671246,0.5085189757988565,0.7974104416102218
OMP 12 cv,0.6720097550248821,0.6462032123631183,0.5464198418699189,0.7660863029589194
PLS 13 cv,0.7946802728692718,0.5052479584139352,0.2617659318258514,0.9463179641625857
PLS 14 cv,0.8388387655652527,0.4487358941022377,0.23170200407853558,0.9579406738012449
ElasticNet 0.001953125 0.5 cv,0.7369098209494331,0.5745667597297152,0.21410559135762225,0.9640864159321323
ElasticNet 0.0009765625 0.5 cv,0.7095441330418882,0.6055776127965325,0.16322632904663967,0.979127082456705
Lasso 0.000244140625 cv,0.6378179962497793,0.6812895759066028,0.08617166849536699,0.9941825623863251
Lasso 0.0001220703125 cv,0.5895837136626095,0.7276711280349809,0.06335478725084195,0.9968554275567181
Lasso 6.103515625e-05 cv,0.7776807280678618,0.5261887110380642,0.04547762197325197,0.9983796895789008
ElasticNet 0.00048828125 0.5 cv,0.8327122482501582,0.45675888004198395,0.1186098134408117,0.9889784169841799
ElasticNet 0.000244140625 0.5 cv,1.0019148929782022,0.21356217216352125,0.08547225764311649,0.9942766134122127
ElasticNet 0.0001220703125 0.5 cv,1.1408305282898992,-0.019635620737467496,0.06222633733535479,0.9969664496436627
ElasticNet 6.103515625e-05 0.5 cv,1.087678973251272,0.0731612210145346,0.04520457033266288,0.9983990881406568
