entry,name,"ƒ¢ƒ¢Gpredict 
[kcal/mol]",contribution [kcal/mol],,,rate [%],
,,,electronic,electrostatic,LUMO,max point,final point
a1,"5ƒ¿-Pregnane-3,20-dione (Reduction of diketone to axial-3ol)",-0.31,-4.49,-0.34,-0.45,19.44,0.00
a2,"5ƒ¿-Pregnane-3,20-dione (Reduction of diketone to equatorial-3ol)",-0.91,-5.13,-0.24,-0.51,60.10,0.00
a3,"5ƒ¿-Pregnane-3,20-dione (Reduction of diketone to cis-20ol)",1.76,-2.77,0.58,-1.02,0.01,0.00
a4,"5ƒ¿-Pregnane-3,20-dione (Reduction of diketone to trans-20ol)",1.28,-3.45,0.69,-0.94,0.02,0.00
monoalcohol_total,,-,-,-,-,79.57,0.00
a13,"5ƒ¿-Pregnane-3,20-dione (Reduction of axial-3 to cis-20ol)",0.97,-2.8,0.18,-1.38,0.00,6.91
a14,"5ƒ¿-Pregnane-3,20-dione (Reduction of axial-3ol to trans-20ol)",0.46,-3.39,0.18,-1.31,0.00,17.86
a23,"5ƒ¿-Pregnane-3,20-dione (Reduction of equatorial-3ol to cis-20ol)",1.04,-2.83,0.11,-1.2,0.00,21.02
a24,"5ƒ¿-Pregnane-3,20-dione (Reduction of equatorial-3ol to trans-20ol)",0.53,-3.44,0.13,-1.13,0.00,54.21
a31,"5ƒ¿-Pregnane-3,20-dione (Reduction of cis-20ol to axial-3ol)",-1.02,-4.54,-0.62,-0.84,0.00,6.91
a32,"5ƒ¿-Pregnane-3,20-dione (Reduction of cis-20ol to equatorial-3ol)",-2.01,-5.21,-0.63,-1.14,0.00,21.02
a41,"5ƒ¿-Pregnane-3,20-dione (Reduction of trans-20ol to axial-3ol)",-1.23,-4.4,-0.24,-1.56,0.00,17.86
a42,"5ƒ¿-Pregnane-3,20-dione (Reduction of trans-20ol to equatorial-3ol)",-1.78,-5.04,-0.02,-1.69,0.00,54.21
dialcohol_total,,-,-,-,-,0.00,100.00
